id;turnover_2020;turnover_2019;turnover_2018;turnover_2017;turnover_2016;turnover_2015;turnover_2014;turnover_2013;turnover_2012;netincome_2020;netincome_2019;netincome_2018;netincome_2017;netincome_2016;netincome_2015;netincome_2014;netincome_2013;netincome_2012;cashflow_2020;cashflow_2019;cashflow_2018;cashflow_2017;cashflow_2016;cashflow_2015;cashflow_2014;cashflow_2013;cashflow_2012;totalassets_2020;totalassets_2019;totalassets_2018;totalassets_2017;totalassets_2016;totalassets_2015;totalassets_2014;totalassets_2013;totalassets_2012;currentratio_2020;currentratio_2019;currentratio_2018;currentratio_2017;currentratio_2016;currentratio_2015;currentratio_2014;currentratio_2013;currentratio_2012;profitmargin_2020;profitmargin_2019;profitmargin_2018;profitmargin_2017;profitmargin_2016;profitmargin_2015;profitmargin_2014;profitmargin_2013;profitmargin_2012;roe_2020;roe_2019;roe_2018;roe_2017;roe_2016;roe_2015;roe_2014;roe_2013;roe_2012;roce_2020;roce_2019;roce_2018;roce_2017;roce_2016;roce_2015;roce_2014;roce_2013;roce_2012;solvency_2020;solvency_2019;solvency_2018;solvency_2017;solvency_2016;solvency_2015;solvency_2014;solvency_2013;solvency_2012;employees_2020;employees_2019;employees_2018;employees_2017;employees_2016;employees_2015;employees_2014;employees_2013;employees_2012;costs_goodssold_2020;costs_goodssold_2019;costs_goodssold_2018;costs_goodssold_2017;costs_goodssold_2016;costs_goodssold_2015;costs_goodssold_2014;costs_goodssold_2013;costs_goodssold_2012;costs_employees_2020;costs_employees_2019;costs_employees_2018;costs_employees_2017;costs_employees_2016;costs_employees_2015;costs_employees_2014;costs_employees_2013;costs_employees_2012;costs_materials_2020;costs_materials_2019;costs_materials_2018;costs_materials_2017;costs_materials_2016;costs_materials_2015;costs_materials_2014;costs_materials_2013;costs_materials_2012;Date of incorporation;age_2020;age_2019;age_2018;age_2017;age_2016;age_2015;age_2014;age_2013;age_2012;company_name
8319343;820.485;635.392;641.649;592.541;488.864;462.766;427.045;395.711;340.560;68.842;-7.388;9.490;14.872;22.487;23.069;15.277;3.195;4.320;106.756;29.564;51.362;49.102;49.624;36.614;29.695;16.468;16.136;558.059;443.607;531.220;486.269;385.136;346.598;331.770;335.608;306.794;1,06;0,94;0,91;0,71;0,75;0,85;1,12;1,08;1,45;9,94;1,52;2,01;2,8;6,15;6,99;4,6;0,8;-0,57;59,77;8,46;10,37;13,8;32,54;44,74;35,82;7,07;-4,82;27,85;8,46;9,32;10,79;17,4;19,55;14,71;9,53;7,49;24,45;25,75;23,35;24,7;23,99;20,86;16,53;13,4;13,08;1.027;959;932;873;811;714;588;539;503;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;97.343;83.143;81.962;87.632;63.549;61.404;57.470;58.509;51.900;419.165;329.728;307.336;275.422;211.142;210.319;196.632;187.807;158.896;27-5-1980;41;40;39;38;37;36;35;34;33;ALPRO
5547559;n.a.;n.a.;719.518;748.843;600.837;593.015;736.838;561.707;937.829;n.a.;n.a.;41.220;43.175;24.033;40.609;54.999;-138;-69.400;n.a.;n.a.;58.395;55.048;32.255;50.080;65.804;22.893;10.819;n.a.;n.a.;556.356;572.066;483.515;373.533;359.010;465.722;445.825;n.a.;n.a.;1,36;1,24;1,18;1,37;1,58;1,38;1,26;n.a.;n.a.;7,96;7,5;5,7;7,38;8,96;2,8;-6,89;n.a.;n.a.;19,45;20,55;17;21,92;35,28;10,82;-44,22;n.a.;n.a.;14,83;15,32;11,5;20,49;33,73;7,48;-24,3;n.a.;n.a.;52,91;47,74;41,68;53,45;52,15;31,21;32,79;n.a.;n.a.;1.350;1.273;1.171;937;824;1.802;2.064;n.a.;n.a.;418.841;438.824;353.756;335.973;312.631;338.017;417.194;n.a.;n.a.;109.577;115.732;96.661;78.495;75.517;83.022;110.434;n.a.;n.a.;418.841;438.824;353.756;335.973;312.631;338.017;417.194;1765;117;116;115;114;113;112;111;110;109;KONINKLIJKE WESSANEN NV
228119619;n.a.;332.838;350.344;364.947;329.622;n.a.;n.a.;n.a.;n.a.;n.a.;9.459;8.123;3.980;2.491;n.a.;n.a.;n.a.;n.a.;n.a.;9.493;8.123;3.980;2.491;n.a.;n.a.;n.a.;n.a.;n.a.;180.924;145.209;92.288;85.993;n.a.;n.a.;n.a.;n.a.;n.a.;1,58;1,26;1,19;1,18;n.a.;n.a.;n.a.;n.a.;n.a.;4,22;3,43;1,48;1,09;n.a.;n.a.;n.a.;n.a.;n.a.;34,37;37,54;21,65;17,09;n.a.;n.a.;n.a.;n.a.;n.a.;14,51;17,33;20,57;14,51;n.a.;n.a.;n.a.;n.a.;n.a.;22,57;22,03;27,08;24,54;n.a.;n.a.;n.a.;n.a.;n.a.;105;70;24;26;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;11.835;7.791;3.424;2.720;n.a.;n.a.;n.a.;n.a.;n.a.;275.355;283.346;306.952;258.934;n.a.;n.a.;n.a.;n.a.;20-1-2015;7;6;5;4;3;2;1;;;UPFIELD DEUTSCHLAND GMBH
5545778;306.237;316.751;314.145;297.929;250.217;252.815;220.097;242.035;228.229;8.321;9.199;8.001;12.375;8.198;5.638;6.446;5.567;5.471;n.a.;n.a.;n.a.;n.a.;n.a.;6.085;6.880;5.984;5.912;86.745;80.301;87.960;72.651;75.713;74.234;59.879;53.738;50.873;1,82;1,91;1,79;1,77;1,47;1,41;1,66;1,85;1,87;3,61;3,86;3,47;5,75;4,54;3,05;4,02;3,16;2,98;29,04;33,41;29,44;57,84;46,08;34,92;35,98;30,67;28,34;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;43,85;45,52;42,05;40,75;32,52;29,78;41,08;46,36;47,16;92;91;86;82;8.444;73;68;69;73;278.828;288.832;287.756;266.386;225.332;232.209;199.220;220.572;208.756;n.a.;n.a.;n.a.;n.a.;n.a.;9.025;8.042;9.468;8.557;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;23-1-1930;92;91;90;89;88;87;86;85;84;MEELUNIE B.V.
2323108;n.a.;176.908;215.178;273.597;201.087;205.884;152.417;n.a.;n.a.;n.a.;3.848;3.681;4.482;4.430;4.528;3.097;n.a.;n.a.;n.a.;4.085;3.991;4.795;4.599;4.673;3.277;n.a.;n.a.;n.a.;51.932;54.328;62.173;47.997;47.057;33.071;n.a.;n.a.;n.a.;1,57;1,5;1,43;1,48;1,4;1,38;n.a.;n.a.;n.a.;3,02;2,48;2,55;3,16;3,12;3;n.a.;n.a.;n.a.;46,38;37,24;50,75;66,89;88,53;116,89;n.a.;n.a.;n.a.;36,4;27,96;36,13;38,63;47,09;49,36;n.a.;n.a.;n.a.;29,61;26,35;22,09;19,79;15,43;11,83;n.a.;n.a.;n.a.;132;132;131;122;n.a.;80;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;9.681;13.093;13.899;10.145;9.965;8.799;n.a.;n.a.;n.a.;150.129;181.894;236.371;170.066;174.501;125.557;n.a.;n.a.;1-1-1987;35;34;33;32;31;30;29;28;27;BOESCH BODEN SPIES GMBH & CO. KG
127893844;130.032;n.a.;52.317;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;-5.692;n.a.;-3.962;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;-4.703;n.a.;-3.889;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;37.074;n.a.;35.295;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,35;n.a.;3,13;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;-4,36;n.a.;-9,06;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;-16,83;n.a.;-19,04;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;-16,83;n.a.;-18,89;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;60,53;n.a.;70,57;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;95;n.a.;60;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;51.447;n.a.;19.766;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;10.637;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;12-1-2012;10;9;8;7;6;5;4;3;2;HUEL LIMITED
5251091;106.496;85.948;94.269;135.016;121.831;126.810;140.289;139.446;n.a.;9.392;8.093;11.562;8.304;9.270;13.040;12.992;13.638;n.a.;12.540;10.751;13.867;10.631;11.303;15.078;15.040;15.868;n.a.;126.282;109.162;107.072;99.715;82.140;89.875;100.015;116.898;n.a.;2,08;2,95;3,01;1,9;2,18;2,09;1,72;1,56;n.a.;10,71;11,25;9,91;8,52;10,11;13,07;13,66;10,24;n.a.;12,39;12,18;12,12;15,94;20,54;28,47;35,63;29,05;n.a.;11,65;11,12;10,94;15,74;21,06;26,27;29,27;21,67;n.a.;72,89;72,74;72,03;72,34;72,98;64,78;53,78;42,05;n.a.;123;122;126;123;119;113;112;109;n.a.;59.070;46.070;52.351;68.054;66.216;94.271;76.679;71.709;n.a.;13.143;10.842;11.282;10.081;9.096;8.923;9.605;9.510;n.a.;53.824;41.862;48.143;68.150;61.805;64.002;69.608;66.368;n.a.;1990;116;115;114;113;112;111;110;109;108;VALSOIA SPA
229781932;103.578;93.348;112.470;103.387;77.979;43.573;n.a.;n.a.;n.a.;-6.219;-5.587;-381;-213;370;-554;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;109.012;97.432;105.913;105.477;91.435;95.770;n.a.;n.a.;n.a.;1,23;1,35;1,26;1,18;1,25;1,32;n.a.;n.a.;n.a.;-6,64;-4,89;0,96;1,04;1,56;-0,4;n.a.;n.a.;n.a.;-17,8;-14,07;2,77;2,6;3,35;-0,71;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;35,46;33,28;36,78;39,1;39,85;38,67;n.a.;n.a.;n.a.;245;258;278;252;245;237;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;23-4-2015;6;5;4;3;2;1;;;;VIVERA TOPHOLDING B.V.
3005477;102.791;74.085;71.164;72.177;59.957;53.848;43.287;28.774;19.273;6.391;4.082;4.277;5.602;9.707;9.094;6.225;2.248;1.693;18.098;13.926;14.190;14.830;12.784;11.071;8.663;4.638;3.724;79.763;68.971;70.739;75.077;67.183;55.215;28.216;21.150;16.662;2,08;1,95;1,65;1,34;1,4;2,24;1,77;1,62;1,11;8,04;6,89;7,58;9,8;21,01;22,78;19,69;10,63;10,11;15,65;11,91;12,89;17,6;40,88;54,37;53,72;26,92;21,68;14,13;10,16;10,36;12,53;24,88;30,79;44,78;20,64;20,29;66,21;62,14;59,12;53,5;45,85;40,85;56,23;53,73;53,92;256;213;182;159;130;110;81;54;44;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;12.825;10.412;9.074;8.510;5.371;4.330;3.496;2.926;2.331;41.790;30.530;28.657;30.176;24.570;22.181;18.359;11.889;8.368;10-7-1991;30;29;28;27;26;25;24;23;22;LIQUATS VEGETALS SA
2476376;92.140;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3.053;803;422;557;1.499;1.307;1.190;787;554;6.365;3.846;3.221;3.287;3.175;2.916;2.808;1.585;1.156;48.284;37.631;30.272;28.619;26.361;18.981;13.640;13.207;9.149;1,21;1,01;1,06;1,15;1,61;n.a.;3,21;1,62;1,9;5,28;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;43,27;16,45;9,22;12,93;39,43;51,25;57,67;55,08;65,52;15,8;6,64;4,22;5,35;11,46;11,46;17,4;16,49;16,81;23,29;19,93;22,55;23,44;20,51;21,25;22,3;15,92;13,76;273;214;200;175;192;130;112;91;81;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;15.381;11.418;10.066;9.843;7.828;6.112;5.093;4.772;3.698;40.322;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1-7-1985;36;35;34;33;32;31;30;29;28;BERIEF FOOD GMBH
